PROJECT,DEPARTMENT,IMPROVEMENT TYPE,ADDRESS,LOCATION TIF,LOCATION TIF NUMBER,FUNDING TIF,FUNDING TIF NUMBER,PROJECT SUMMARY,TIF REQUEST,TOTAL PROJECT COST,PERCENTAGE OF TIF,TIC MEETING DATE,TIC DECISION,LOCATION
Water and Sewer Improvements,DWM,Public Infrastructure,Various,Galewood Armitage,T-071,Galewood Armitage,T-071,"Replace water main, sewer main and line existing sewer main located within 59 investigated TIF boundaries throughout the City of Chicago.",88946,88946,1,04/07/2020,Referred Back to Department,
Tilton Elementary School - Building Improvements,CPS,Schools,233 N Keeler Av,Madison/Austin,T-075,Madison/Austin,T-075,Provide a full roof replacement and targeted masonry repairs.,3600000,3600000,1,10/01/2019,Under Further Review,POINT (-87.7307 41.88443)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Midwest,T-095,Midwest,T-095,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",1183980,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
TIFWorks,DPD,Economic Development,Various,Lawrence/Broadway,T-109,Lawrence/Broadway,T-109,Replenish capital to subsidize upcoming TIFWorks projects.,200000,200000,1,01/21/2020,Approved,
Bus Stop Sidewalk Pad,CDOT,Public Infrastructure,Multiple Addresses,Lawrence Kedzie,T-088,Lawrence Kedzie,T-088,"This project will provide a sidewalk pad at the southbound #82 bus stop at the north leg of the Kimball / Carmen offset intersection, where currently a grassy median exists.  Introduction of this sidewalk pad will assist bus riders of all abilities.",28000,28000,1,05/25/2021,Approved,
Ronan Park- Gardens,Park District,Parks and Open Spaces,3000 West Argyle St,Lawrence Kedzie,T-088,Lawrence Kedzie,T-088,"Redevelopment of the community garden. Improvements will include garden enhancements, site furnishings and new entrance and park gateway.",2500000,2500000,1,03/23/2021,Approved,POINT (-87.70454 41.97212)
Ornamental Street Light Pole Replacement,CDOT,Public Infrastructure,Various Addresses,Western Av North,T-084,Western Av North,T-084,Replace damaged ornamental street light poles.,400000,400000,1,04/07/2020,Approved,
Oglesby ES  - Elevator,CPS,Schools,7646 South Green St,79th Vincennes,T-155,79th Vincennes,T-155,Install elevator to provide vertical access to people with disabilities.,2804000,2804000,1,01/25/2022,Under Further Review,POINT (-87.64589 41.75503)
TIF Works Funding Requests 2024,DPD,Economic Development,,87th Cottage Grove,T-127,87th Cottage Grove,T-127,TIFWorks is an economic development program that utilizes TIF dollars to subsidize training programs for companies in TIF districts across the city of Chicago.,500000,500000,1,05/28/2024,Approved,POINT (-87.63245 41.88425)
Q1 2024 Arterial Resurfacing,CDOT,Public Infrastructure,,Near North,T-030,Near North,T-030,2024 arterial resurfacing with Complete Streets upgrades,820000,820000,1,03/26/2024,Approved,POINT (-87.63245 41.88425)
Clark (John) - Pool Rehabilitation,Park District,Parks and Open Spaces,4615 W Jackson Blvd,Midwest,T-095,Midwest,T-095,Rehab existing pool,500000,500000,1,09/15/2020,Approved,POINT (-87.74097 41.8769)
Small Business Improvement Fund,DPD,Economic Development,Various,Stevenson Brighton,T-149,Stevenson Brighton,T-149,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,1000000,1000000,1,03/10/2020,Approved,
Canal: Lake to Kinzie Infrastructure Improvements,CDOT,Public Infrastructure,200-400  North Canal St,River West,T-104,River West,T-104,"Roadway improvement to improve street lighting, resurface deteriorated asphalt streets, install curb extensions and provide a sidewalk level bike lane through the intersection of Canal and Kinzie.",1600000,1600000,1,07/23/2024,Approved,POINT (-87.63984 41.88605)
Kedzie Neighborhood Connector Bikeway,CDOT,Public Infrastructure,1-1000  North Kedzie Av,Midwest,T-095,Midwest,T-095,Installation of the Kedzie Neighborhood Connector Bikeway between Augusta and 26th St,375000,708000,0.53,04/25/2023,Approved,
35th St Bridge Repairs,CDOT,Public Infrastructure,1200-1300 West 35th St,35th Halsted,T-001,35th Halsted,T-001,"Repairs to the 35th St Bridge over Bubbly Creek including bearing replacement, structural steel repairs, and concrete repairs.",650000,650000,1,10/25/2022,Approved,POINT (-87.65827 41.83136)
Uplift HS - Roof / Masonry,CPS,Schools,900 W Wilson Ave,Wilson Yard,T-110,Wilson Yard,T-110,Replace the entire roof system including associatedÂ masonry and targeted interior finishes due to water infiltration.,7200000,7200000,1,05/25/2021,Referred Back to Department,POINT (-87.65239 41.96547)
Fire Engine Company 121,AIS,Municipal Facilities,1724 West 95th St,95th Western,T-009,95th Western,T-009,MEP Upgrades,200000,200000,1,12/15/2020,Approved,POINT (-87.66581 41.72169)
Small Business Improvement Fund,DPD,Economic Development,Various,Armitage Pulaski,T-151,Armitage Pulaski,T-151,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,500000,500000,1,10/20/2020,Approved,
79th/Columbus Ave Left Turn Signal,CDOT,Public Infrastructure,3230 West 79th St,79th Southwest Hwy,T-112,79th Southwest Hwy,T-112,Installation of a left turn arrow for west bound 79th onto southwest bound Columbus. Work will require three new signal controllers.,320000,320000,1,07/09/2019,Under Further Review,POINT (-87.7032 41.74988)
79th Street Corridor TIF Study,DPD,"Plans, Studies, and Administration",,79th Street Corridor,T-056,79th Street Corridor,T-056,Redevelopment planning study for the TIF area,300000,300000,1,06/22/2021,Approved,POINT (-87.63245 41.88425)
SBIF Funding Recommendation,DPD,Economic Development,,71st Stony Island,T-060,71st Stony Island,T-060,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,1500000,47450000,1,08/23/2022,Approved,POINT (-87.63245 41.88425)
Austin Senior Center,AIS,Municipal Facilities,5071 W Congress Parkway,Harrison Central,T-144,Harrison Central,T-144,ADA accessibility work,120000,120000,1,09/15/2020,Approved,POINT (-87.75235 41.87398)
Ramova Theater,DPD,Economic Development,3518 South Halsted St,35th Halsted,T-001,35th Halsted,T-001,"Construction of a 2 story, 29,206 square foot theater that will offer live music, comedy, and cultural performances. The theater will also contain a brewery on the first floor and a restaurant on the second floor.
Site has been vacant since 1986.",6640000,22365636,0.3,04/20/2021,Approved,POINT (-87.64609 41.83024)
NW Material Recycling,AIS,Municipal Facilities,750 N Kilbourn Ave,Northwest Ind Corr,T-064,Northwest Ind Corr,T-064,Interior and exterior renovations,2000000,2000000,1,08/18/2020,Approved,POINT (-87.74022 41.89405)
28th Ward Western/Ogden and Roosevelt/Racine Infrastructure Improvements,CDOT,Public Infrastructure,,Western Ogden,T-048,Western Ogden,T-048,"Residential street resurfacing, including sidewalks, curb & gutter, and ADA improvements.",330000,330000,1,05/28/2024,Approved,POINT (-87.63245 41.88425)
Small Business Improvement Fund,DPD,Economic Development,Various,51st Archer,T-097,51st Archer,T-097,Authorization to use TIF funds for SBIF Program in designated TIF districts. SBIF uses TIF revenues to provide grants to small commercial and industrial businesses and property owners to help fund permanent improvements to their buildings.,1000000,1000000,1,02/25/2020,Approved,
North Avenue Neighborhood Lighting - Additional Funding,CDOT,Public Infrastructure,3500-3600 West North Av,Humboldt Park,T-108,Humboldt Park,T-108,Additional funding for an additional block of updated street lighting on a prior approved neighborhood lighting project in Humboldt Park.,200000,200000,1,03/28/2023,Approved,POINT (-87.7142 41.91003)
North Park Garage - Interim Improvements (Circulation Improvements),CTA,Transit Facilities,5325 W Kedzie,Lawrence Kedzie,T-088,Lawrence Kedzie,T-088,Improves on-site circulation and safer turning movements into and out of the site. Project elements include widening driveway out of facility and demolition of property at 5325 w Kedzie.,2100000,2100000,1,12/03/2019,Approved,POINT (-87.70343 41.79644)
Urban Main Street Program: Phase I and II,DPD,"Plans, Studies, and Administration",,Austin Commercial,T-156,Austin Commercial,T-156,"The Neighborhood Main Streets project seeks to coordinate public investment in public spaces and arts in order to enhance commercial areas, respond to changing commercial trends in retail and services, enrich local culture, and stabilize populations.",329727,329727,1,10/01/2019,Approved,POINT (-87.63245 41.88425)
Central Avenue Bump Outs,CDOT,Public Infrastructure,2900-3100 North Central Av,Belmont Central,T-081,Belmont Central,T-081,Installation of new bump outs at the northeast and southwest corners of Central/Barry and Central/George along with refreshed pavement markings and signage.,200000,200000,1,04/20/2021,Referred Back to Department,POINT (-87.76631 41.93309)
Southwest Industrial Corridors TDL Uses Study,DPD,Economic Development,,47th Ashland,T-117,47th Ashland,T-117,"There is a pressing need to understand the impacts of freight and TDL related developments on infrastructure and communities.Â  The proposals seeks funds to conduct a study of existing and proposed freight/transportation, distribution, logistics uses.",6770,300000,1,08/18/2020,Approved,POINT (-87.63245 41.88425)
Jefferson Park - Fieldhouse and Park Renovation,Park District,Parks and Open Spaces,,Jefferson Park,T-057,Jefferson Park,T-057,"Investment will enable the Park District to renovate many areas of the park, including the historic fieldhouse and pool building. Also funding will be programmed for site work  improvements to the playground, walking paths and ballfields.",2275000,2275000,1,09/21/2021,Approved,POINT (-87.63245 41.88425)
Whittier - Chimney/Stack Reduction,CPS,Schools,1900 West 23rd St,Pilsen Ind Corr,T-053,Pilsen Ind Corr,T-053,Shorten the height of the buildingâ€™s chimney stack to address structural stability concerns.,750000,750000,1,08/24/2021,Approved,POINT (-87.67389 41.8504)
3rd Ward Arterial Lighting Improvements,CDOT,Public Infrastructure,,Roosevelt Clark,T-184,Canal Congress,T-063,"Design and installation of arterial smart lighting systems including new poles, underground conduit, LED luminaires, controllers, and restoration.",2000000,4000000,1,03/22/2022,Approved,POINT (-87.63245 41.88425)
95th Street Streetscape Improvements Wood to Ashland,CDOT,Public Infrastructure,1600-1800 West 95th St,95th Western,T-009,95th Western,T-009,"This TIF request is for completion of the streetscape improvements within the 95th Street Business District.
This is the 4th and final section of the 95th Street streetscape. This targeted investment will provide a safe, walkable, and attractive street.",400000,4400000,0.09,12/15/2020,Approved,POINT (-87.66776 41.7212)
3841 W Madison/Aldi (West Garfield Park) Acquisition,DPD,Economic Development,3841 West Madison St,Madison/Austin,T-075,Madison/Austin,T-075,"Acquisition of Aldi Site: Acquisition, Legal/Survey, Site Prep/Environmental
RFP and Community Engagement",1000000,1000000,1,12/14/2021,Approved,POINT (-87.72254 41.88078)
"111th St, Ellis to Doty Lighting",CDOT,Public Infrastructure,700-11000 E 111th St,Lake Calumet,T-103,Lake Calumet,T-103,Design of new gateway and pedestrian lighting leading from I-94 to the entrance of the new Pullman Monument.,75000,585000,0.13,07/21/2020,Approved,POINT (-87.60538 41.69325)
TIFWorks,DPD,Economic Development,Various,Stony Island Burnside,T-054,Stony Island Burnside,T-054,Replenish capital to subsidize upcoming TIFWorks projects,300000,300000,1,11/17/2020,Approved,
Otis ES - Masonry/Roof/Envelope,CPS,Schools,525 North Armour St,Kinzie Industrial Corridor,T-052,Kinzie Industrial Corridor,T-052,Provide a full roof replacement and targeted masonry repairs.,2800000,2800000,1,11/22/2019,Under Further Review,POINT (-87.66553 41.89166)
Chicago Avenue Streetscape (Humboldt Park IS/W Corridor),CDOT,Public Infrastructure,3200-4000  West Chicago Av,Northwest Ind Corr,T-064,Northwest Ind Corr,T-064,"ISW Corridor Streetscape consisting of infrastructure, pedestrian safety, and placemaking improvements with the goal of creating a unified, safe, and attractive commercial destination.",910000,18200000,0.05,05/08/2023,Approved,POINT (-87.70673 41.89559)
Playground Repair Program: Broncho Billy,Park District,Parks and Open Spaces,4437 North Magnolia Av,Wilson Yard,T-110,Wilson Yard,T-110,Remove tiles / Retop PIP / Play equipment repairs / Ramp repair,175000,175000,1,01/21/2020,Approved,POINT (-87.66092 41.96271)
Darwin - Masonry/Roof/Envelope,CPS,Schools,3116 West Belden Av,Fullerton/Milwaukee,T-087,Fullerton/Milwaukee,T-087,Provide a full roof replacement and targeted masonry repairs.,4400000,4400000,1,11/05/2019,Approved,POINT (-87.70554 41.92324)
George Cleveland Hall Library,AIS,Municipal Facilities,4801 South Michigan Av,47th King,T-118,47th King,T-118,"Interior repairs, masonry repairs, roof repairs, and HVAC replacements.",2000000,2000000,1,07/27/2021,Under Further Review,POINT (-87.6228 41.8073)
CDOT/BOE Polling Place ADA Accessibility Improvements,CDOT,Public Infrastructure,,Lawrence Kedzie,T-088,Lawrence Kedzie,T-088,"Repair/replace non-compliant sidewalk, curb and gutter within the public Right-of-Way at all City owned polling locations.",167090,14859552,0.65,09/21/2021,Approved,POINT (-87.63245 41.88425)
